Symbol,Type,Amount,Total,AvgPrice
ATOM,BUY,13.48,398.4496,29.55858
ATOM,SELL,14.05,356.1869,25.35138
AVAX,BUY,12.08755,896.13613,74.13712
AVAX,SELL,12.21432,733.28059,60.0345
BNB,BUY,1.41702,556.7298,392.88777
BNB,SELL,0.566,202.336,357.4841
BTC,BUY,0.00813,323.33441,39770.52966
BTC,SELL,0.0044,168.36033,38263.71089
ETH,BUY,0.257,700.35335,2725.11031
ETH,SELL,0.19098,494.48152,2589.14049
LUNA,BUY,0.35,29.3895,83.97
LUNA,SELL,0.35,24.1395,68.97
MATIC,BUY,391.99925,603.14717,1.53864
MATIC,SELL,366.73796,433.00587,1.1807
SOL,BUY,5.38,492.9615,91.62853
SOL,SELL,4.71047,381.99063,81.09397
UST,BUY,2886,2889.2221,1.00112
UST,SELL,2933,2453.15171,0.8364
